Time,Message,PnL
06 Aug 10:15,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-1316.25
06 Aug 11:17,Regime shifted to DIRECTIONAL,
06 Aug 11:17,Entered DIRECTIONAL (buy PE) - Capital Used: ₹122645.25,
06 Aug 11:18,Trailing Stop raised to 20.00% (High PnL: 0.00%),
06 Aug 11:34,Trailing Stop raised to 19.48% (High PnL: 0.52%),
06 Aug 11:36,Trailing Stop raised to 18.62% (High PnL: 1.38%),
06 Aug 11:37,Trailing Stop raised to 18.40% (High PnL: 1.60%),
06 Aug 11:39,Regime shifted to SIDEWAYS,
06 Aug 11:39,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),1930.49999999999
06 Aug 11:42,Regime shifted to DIRECTIONAL,
06 Aug 11:42,Entered DIRECTIONAL (buy PE) - Capital Used: ₹113724.00,
06 Aug 11:43,Trailing Stop raised to 18.88% (High PnL: 1.12%),
06 Aug 11:44,Trailing Stop raised to 18.56% (High PnL: 1.44%),
06 Aug 11:47,Trailing Stop raised to 18.15% (High PnL: 1.85%),
06 Aug 12:04,Regime shifted to SIDEWAYS,
06 Aug 12:04,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-4263.9999999999945
06 Aug 14:17,Regime shifted to DIRECTIONAL,
06 Aug 14:17,Entered DIRECTIONAL (buy PE) - Capital Used: ₹119252.25,
06 Aug 14:18,Trailing Stop raised to 20.00% (High PnL: 0.00%),
06 Aug 14:19,Trailing Stop raised to 19.68% (High PnL: 0.32%),
06 Aug 14:20,Trailing Stop raised to 19.53% (High PnL: 0.47%),
06 Aug 14:21,Trailing Stop raised to 19.31% (High PnL: 0.69%),
06 Aug 14:22,Regime shifted to SIDEWAYS,
06 Aug 14:22,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-848.2499999999934
07 Aug 09:15,Regime shifted to VOLATILE,
07 Aug 09:20,Entered VOLATILE (buy Straddle) - Capital Used: ₹97665.75,
07 Aug 09:22,Regime shifted to DIRECTIONAL,
