Time,Message,PnL
21 Aug 13:07,Entered DIRECTIONAL (buy PE) - Capital Used: ₹96525.00,
21 Aug 13:08,Trailing Stop raised to 20.00% (High PnL: 0.00%),
21 Aug 13:10,Trailing Stop raised to 19.66% (High PnL: 0.34%),
21 Aug 13:13,Trailing Stop raised to 19.49% (High PnL: 0.51%),
21 Aug 13:14,Trailing Stop raised to 18.57% (High PnL: 1.43%),
21 Aug 13:15,Trailing Stop raised to 16.89% (High PnL: 3.11%),
21 Aug 13:16,Trailing Stop raised to 16.13% (High PnL: 3.87%),
21 Aug 13:20,Trailing Stop raised to 15.71% (High PnL: 4.29%),
21 Aug 13:21,Trailing Stop raised to 12.68% (High PnL: 7.32%),
21 Aug 13:22,Trailing Stop raised to 9.90% (High PnL: 10.10%),
21 Aug 13:24,Regime shifted to SIDEWAYS,
21 Aug 13:24,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),8043.749999999993
