Time,Message,PnL
19 Aug 09:41,Trailing Stop moved to 5.00% (High PnL: 0.00%),
19 Aug 09:43,Closed DIRECTIONAL (buy PE) due to Trailing Stop Hit,-442640.24999999977
19 Aug 09:44,Entered DIRECTIONAL (buy PE) - Capital Used: ₹7095764.00,
19 Aug 09:45,Trailing Stop moved to 4.20% (High PnL: 0.80%),
19 Aug 09:46,Trailing Stop moved to 4.06% (High PnL: 0.94%),
19 Aug 09:49,Closed DIRECTIONAL (buy PE) due to Trailing Stop Hit,-383811.9999999998
19 Aug 09:50,Entered DIRECTIONAL (buy PE) - Capital Used: ₹6749320.50,
19 Aug 09:51,Trailing Stop moved to 3.04% (High PnL: 1.96%),
19 Aug 09:52,Trailing Stop moved to 2.45% (High PnL: 2.55%),
19 Aug 09:55,Trailing Stop moved to 1.18% (High PnL: 3.82%),
19 Aug 09:57,Trailing Stop moved to 0.79% (High PnL: 4.21%),
19 Aug 10:01,Regime shifted to SIDEWAYS,
19 Aug 10:01,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),267725.25000000076
19 Aug 10:02,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹6890000.00,
19 Aug 10:24,Regime shifted to DIRECTIONAL,
19 Aug 10:24,Closed SIDEWAYS (sell Straddle) due to Smart Exit (Regime Shift),22220.24999999996
19 Aug 10:25,Entered DIRECTIONAL (buy PE) - Capital Used: ₹7792083.00,
19 Aug 10:26,Trailing Stop moved to 5.00% (High PnL: 0.00%),
19 Aug 10:27,Trailing Stop moved to 4.78% (High PnL: 0.22%),
19 Aug 10:29,Trailing Stop moved to 2.93% (High PnL: 2.07%),
19 Aug 10:30,Trailing Stop moved to 2.71% (High PnL: 2.29%),
19 Aug 10:31,Trailing Stop moved to 2.44% (High PnL: 2.56%),
19 Aug 10:34,Trailing Stop moved to 0.20% (High PnL: 4.80%),
19 Aug 10:37,Trailing Stop moved to -2.04% (High PnL: 7.04%),
19 Aug 10:41,Trailing Stop moved to -5.09% (High PnL: 10.09%),
19 Aug 10:42,Closed DIRECTIONAL (buy PE) due to Trailing Stop Hit,331577.9999999993
19 Aug 10:43,Entered DIRECTIONAL (buy PE) - Capital Used: ₹8089640.00,
19 Aug 10:44,Trailing Stop moved to 4.84% (High PnL: 0.16%),
19 Aug 10:45,Trailing Stop moved to 0.64% (High PnL: 4.36%),
19 Aug 10:46,Trailing Stop moved to 0.27% (High PnL: 4.73%),
19 Aug 10:50,Trailing Stop moved to -0.11% (High PnL: 5.11%),
19 Aug 10:51,Trailing Stop moved to -0.43% (High PnL: 5.43%),
19 Aug 10:54,Closed DIRECTIONAL (buy PE) due to Trailing Stop Hit,0.0
19 Aug 10:55,Entered DIRECTIONAL (buy PE) - Capital Used: ₹8090582.50,
19 Aug 10:56,Trailing Stop moved to 5.00% (High PnL: 0.00%),
19 Aug 10:58,Trailing Stop moved to 4.35% (High PnL: 0.65%),
19 Aug 10:59,Trailing Stop moved to 1.71% (High PnL: 3.29%),
19 Aug 11:02,Trailing Stop moved to -1.36% (High PnL: 6.36%),
19 Aug 11:04,Trailing Stop moved to -1.74% (High PnL: 6.74%),
19 Aug 11:05,Trailing Stop moved to -1.95% (High PnL: 6.95%),
19 Aug 11:07,Trailing Stop moved to -9.18% (High PnL: 14.18%),
19 Aug 11:09,Closed DIRECTIONAL (buy PE) due to Trailing Stop Hit,654225.0
19 Aug 11:10,Entered DIRECTIONAL (buy PE) - Capital Used: ₹8675774.25,
19 Aug 11:11,Trailing Stop moved to 1.96% (High PnL: 3.04%),
19 Aug 11:19,Closed DIRECTIONAL (buy PE) due to Trailing Stop Hit,-228657.00000000076
19 Aug 11:20,Entered DIRECTIONAL (buy PE) - Capital Used: ₹8469756.75,
19 Aug 11:21,Trailing Stop moved to 5.00% (High PnL: 0.00%),
19 Aug 11:24,Regime shifted to SIDEWAYS,
19 Aug 11:24,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),30735.2499999995
19 Aug 11:25,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹8450000.00,
19 Aug 11:52,Regime shifted to DIRECTIONAL,
19 Aug 11:52,Closed SIDEWAYS (sell Straddle) due to Smart Exit (Regime Shift),-422.499999999976
19 Aug 11:53,Entered DIRECTIONAL (buy PE) - Capital Used: ₹9457929.00,
19 Aug 11:54,Trailing Stop moved to 5.00% (High PnL: 0.00%),
19 Aug 11:55,Trailing Stop moved to 4.53% (High PnL: 0.47%),
19 Aug 11:56,Trailing Stop moved to 3.77% (High PnL: 1.23%),
19 Aug 12:00,Trailing Stop moved to 3.06% (High PnL: 1.94%),
19 Aug 12:01,Trailing Stop moved to 1.46% (High PnL: 3.54%),
19 Aug 12:02,Trailing Stop moved to 0.37% (High PnL: 4.63%),
19 Aug 12:03,Trailing Stop moved to -2.46% (High PnL: 7.46%),
19 Aug 12:04,Trailing Stop moved to -5.20% (High PnL: 10.20%),
19 Aug 12:09,Trailing Stop moved to -7.70% (High PnL: 12.70%),
19 Aug 12:12,Trailing Stop moved to -8.27% (High PnL: 13.27%),
19 Aug 12:13,Trailing Stop moved to -10.49% (High PnL: 15.49%),
19 Aug 12:17,Regime shifted to SIDEWAYS,
19 Aug 12:17,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),1027065.0
19 Aug 12:18,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹10270000.00,
19 Aug 13:30,Regime shifted to DIRECTIONAL,
19 Aug 13:30,Closed SIDEWAYS (sell Straddle) due to Smart Exit (Regime Shift),2824.250000000058
19 Aug 13:31,Entered DIRECTIONAL (buy PE) - Capital Used: ₹11533567.50,
19 Aug 13:32,Trailing Stop moved to 5.00% (High PnL: 0.00%),
19 Aug 13:33,Trailing Stop moved to 2.98% (High PnL: 2.02%),
19 Aug 13:37,Regime shifted to SIDEWAYS,
19 Aug 13:37,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),-101328.49999999932
19 Aug 13:38,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹11440000.00,
19 Aug 14:23,Regime shifted to DIRECTIONAL,
19 Aug 14:23,Closed SIDEWAYS (sell Straddle) due to Smart Exit (Regime Shift),22879.99999999992
19 Aug 14:24,Entered DIRECTIONAL (buy PE) - Capital Used: ₹12726236.25,
19 Aug 14:25,Trailing Stop moved to 5.00% (High PnL: 0.00%),
19 Aug 14:26,Trailing Stop moved to 4.30% (High PnL: 0.70%),
19 Aug 14:29,Closed DIRECTIONAL (buy PE) due to Trailing Stop Hit,-590294.2500000007
19 Aug 14:30,Entered DIRECTIONAL (buy PE) - Capital Used: ₹12197887.00,
19 Aug 14:31,Trailing Stop moved to 5.00% (High PnL: 0.00%),
19 Aug 14:35,Closed DIRECTIONAL (buy PE) due to Trailing Stop Hit,-2515233.5000000005
19 Aug 14:36,Entered DIRECTIONAL (buy PE) - Capital Used: ₹9936680.00,
19 Aug 14:37,Trailing Stop moved to -2.93% (High PnL: 7.93%),
19 Aug 14:38,Trailing Stop moved to -9.53% (High PnL: 14.53%),
19 Aug 14:39,Trailing Stop moved to -10.55% (High PnL: 15.55%),
19 Aug 14:41,Regime shifted to SIDEWAYS,
19 Aug 14:41,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),1815840.0000000007
19 Aug 14:42,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹11570000.00,
19 Aug 15:15,Closed SIDEWAYS (sell Straddle) due to EOD Exit,16487.25000000005
20 Aug 09:15,Regime shifted to VOLATILE,
20 Aug 09:20,Entered VOLATILE (sell Straddle) - Capital Used: ₹12740000.00,
20 Aug 09:22,Regime shifted to DIRECTIONAL,
20 Aug 09:22,Closed VOLATILE (sell Straddle) due to Smart Exit (Regime Shift),-14650.999999999982
20 Aug 09:34,Entered DIRECTIONAL (buy CE) - Capital Used: ₹14015612.00,
20 Aug 09:35,Trailing Stop moved to 2.61% (High PnL: 2.39%),
20 Aug 09:36,Trailing Stop moved to 2.31% (High PnL: 2.69%),
20 Aug 09:37,Trailing Stop moved to 2.27% (High PnL: 2.73%),
20 Aug 09:40,Trailing Stop moved to 1.13% (High PnL: 3.87%),
20 Aug 09:43,Trailing Stop moved to 1.05% (High PnL: 3.95%),
20 Aug 09:44,Trailing Stop moved to 0.07% (High PnL: 4.93%),
20 Aug 09:45,Trailing Stop moved to -0.01% (High PnL: 5.01%),
20 Aug 09:52,Closed DIRECTIONAL (buy CE) due to Trailing Stop Hit,-116974.00000000242
20 Aug 09:53,Entered DIRECTIONAL (buy CE) - Capital Used: ₹13908144.25,
20 Aug 09:54,Trailing Stop moved to 0.52% (High PnL: 4.48%),
20 Aug 09:55,Trailing Stop moved to -1.24% (High PnL: 6.24%),
20 Aug 09:56,Trailing Stop moved to -2.55% (High PnL: 7.55%),
20 Aug 10:05,Closed DIRECTIONAL (buy CE) due to Trailing Stop Hit,346238.75
20 Aug 10:06,Entered DIRECTIONAL (buy CE) - Capital Used: ₹14220960.00,
20 Aug 10:07,Trailing Stop moved to 4.09% (High PnL: 0.91%),
20 Aug 10:10,Trailing Stop moved to 3.33% (High PnL: 1.67%),
20 Aug 10:11,Trailing Stop moved to 2.13% (High PnL: 2.87%),
20 Aug 10:14,Trailing Stop moved to 0.82% (High PnL: 4.18%),
20 Aug 10:15,Trailing Stop moved to 0.28% (High PnL: 4.72%),
20 Aug 10:27,Regime shifted to SIDEWAYS,
20 Aug 10:27,Closed DIRECTIONAL (buy CE) due to Smart Exit (Regime Shift),-108517.49999999824
20 Aug 10:28,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹14040000.00,
20 Aug 11:22,Regime shifted to DIRECTIONAL,
20 Aug 11:22,Closed SIDEWAYS (sell Straddle) due to Smart Exit (Regime Shift),34749.00000000002
20 Aug 11:23,Entered DIRECTIONAL (buy CE) - Capital Used: ₹15438735.00,
20 Aug 11:24,Trailing Stop moved to 4.42% (High PnL: 0.58%),
20 Aug 11:25,Trailing Stop moved to 4.30% (High PnL: 0.70%),
20 Aug 11:27,Trailing Stop moved to 2.74% (High PnL: 2.26%),
20 Aug 11:29,Trailing Stop moved to 2.50% (High PnL: 2.50%),
20 Aug 11:30,Trailing Stop moved to -0.30% (High PnL: 5.30%),
20 Aug 11:31,Trailing Stop moved to -2.80% (High PnL: 7.80%),
20 Aug 11:32,Trailing Stop moved to -6.11% (High PnL: 11.11%),
20 Aug 11:46,Trailing Stop moved to -7.67% (High PnL: 12.67%),
20 Aug 11:56,Trailing Stop moved to -8.84% (High PnL: 13.84%),
20 Aug 12:06,Regime shifted to SIDEWAYS,
20 Aug 12:06,Closed DIRECTIONAL (buy CE) due to Smart Exit (Regime Shift),1751529.0000000014
20 Aug 12:07,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹16900000.00,
20 Aug 12:48,Regime shifted to DIRECTIONAL,
20 Aug 12:48,Closed SIDEWAYS (sell Straddle) due to Smart Exit (Regime Shift),-209559.99999999997
20 Aug 12:49,Entered DIRECTIONAL (buy CE) - Capital Used: ₹18363800.00,
20 Aug 12:50,Trailing Stop moved to -2.39% (High PnL: 7.39%),
20 Aug 12:51,Trailing Stop moved to -6.29% (High PnL: 11.29%),
20 Aug 12:53,Closed DIRECTIONAL (buy CE) due to Trailing Stop Hit,787020.0
20 Aug 12:54,Entered DIRECTIONAL (buy CE) - Capital Used: ₹19067041.50,
20 Aug 12:55,Trailing Stop moved to 5.00% (High PnL: 0.00%),
20 Aug 13:07,Regime shifted to SIDEWAYS,
20 Aug 13:07,Closed DIRECTIONAL (buy CE) due to Smart Exit (Regime Shift),-340365.99999999924
20 Aug 13:08,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹18720000.00,
20 Aug 14:04,Regime shifted to DIRECTIONAL,
20 Aug 14:04,Closed SIDEWAYS (sell Straddle) due to Smart Exit (Regime Shift),102491.99999999977
20 Aug 14:05,Entered DIRECTIONAL (buy CE) - Capital Used: ₹20613125.00,
20 Aug 14:06,Trailing Stop moved to 2.75% (High PnL: 2.25%),
20 Aug 14:07,Trailing Stop moved to 0.94% (High PnL: 4.06%),
20 Aug 14:08,Regime shifted to SIDEWAYS,
20 Aug 14:08,Closed DIRECTIONAL (buy CE) due to Smart Exit (Regime Shift),780000.0000000019
20 Aug 14:09,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹21190000.00,
20 Aug 15:10,Regime shifted to DIRECTIONAL,
20 Aug 15:10,Closed SIDEWAYS (sell Straddle) due to Smart Exit (Regime Shift),55623.75000000015
20 Aug 15:21,Regime shifted to SIDEWAYS,
20 Aug 15:29,Regime shifted to DIRECTIONAL,
21 Aug 09:15,Regime shifted to VOLATILE,
21 Aug 09:20,Entered VOLATILE (sell Straddle) - Capital Used: ₹23140000.00,
21 Aug 09:22,Regime shifted to DIRECTIONAL,
21 Aug 09:22,Closed VOLATILE (sell Straddle) due to Smart Exit (Regime Shift),-2313.999999999951
21 Aug 09:32,Entered DIRECTIONAL (buy PE) - Capital Used: ₹25229854.00,
21 Aug 09:33,Trailing Stop moved to 4.84% (High PnL: 0.16%),
21 Aug 09:34,Regime shifted to SIDEWAYS,
21 Aug 09:34,Closed DIRECTIONAL (buy PE) due to Smart Exit (Regime Shift),864318.0000000006
21 Aug 09:35,Entered SIDEWAYS (sell Straddle) - Capital Used: ₹26000000.00,
21 Aug 09:44,Regime shifted to DIRECTIONAL,
21 Aug 09:44,Closed SIDEWAYS (sell Straddle) due to Smart Exit (Regime Shift),-23399.999999999964
21 Aug 09:45,Entered DIRECTIONAL (buy PE) - Capital Used: ₹28183281.75,
21 Aug 09:46,Trailing Stop moved to -0.37% (High PnL: 5.37%),
21 Aug 09:53,Closed DIRECTIONAL (buy PE) due to Trailing Stop Hit,-642885.7499999988
21 Aug 09:54,Entered DIRECTIONAL (buy PE) - Capital Used: ₹27604645.25,
21 Aug 09:55,Trailing Stop moved to 2.85% (High PnL: 2.15%),
21 Aug 09:56,Trailing Stop moved to 2.19% (High PnL: 2.81%),
